Complaint ID,Category,Sub Category,Grievance Date,Ward Name,Grievance Status,Staff Remarks,Staff Name
20374411,Road Maintenance(Engg),Road cutting,2023-07-18 11:39:00.000000000,Konena Agrahara,Closed,Complaint Attended,SHANTHA BADAGANDI/AEE
20374410,Solid Waste (Garbage) Related,Sweeping not done,2023-07-18 11:34:00.000000000,Nagavara,Closed,Close,Mamatha M.S/AEE
20374409,Electrical,Street Light Not Working,2023-07-18 11:30:00.000000000,Hombegowda Nagar,Closed,Attended,Jnanesh/AEE
20374408,Electrical,Street Light Not Working,2023-07-18 11:28:00.000000000,Horamavu,Closed,Attended,Sharath Kumar/AEE
20374407,Road Maintenance(Engg),Footpath,2023-07-18 11:28:00.000000000,Marenahalli,Closed,Resolved,Alok Sheety/AEE
20374406,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2023-07-18 11:27:00.000000000,Jeevanbhima Nagar,Closed,Resolved,Prasanna/AEE
20374405,Road Maintenance(Engg),Potholes,2023-07-18 11:27:00.000000000,Sagayapuram,Closed,Closed,Atif Ahmed/AEE
20374404,Forest,obstructions Branches / Trees.,2023-07-18 11:25:00.000000000,Radhakrishna Temple,Closed,"Please provide hard copy photo of the tree, bbmp tax paid, request letter to the 21st floor, Utility building, mayohall, Bangalore-01",P Nagendra /DYRFO
20374403,Electrical,Street Light Not Working,2023-07-18 11:25:00.000000000,Vijay Nagar,Closed,attended,Umesh/AEE
20374402,Electrical,Street Light Not Working,2023-07-18 11:25:00.000000000,Chalavadipalya,Closed,attended,Suresh/AEE
20374401,Electrical,Street Light Not Working,2023-07-18 11:22:00.000000000,Bagalagunte,Closed,Attended,Gurappa Y Doddamani/AEE
20374400,Road Maintenance(Engg),footpath encroachment,2023-07-18 11:20:00.000000000,Shakambari Nagar,Closed,Attended,Vanaraju.P/AEE
20374399,Solid Waste (Garbage) Related,Garbage dump,2023-07-18 11:18:00.000000000,Shanthi Nagar,Closed,close,Appuraju/AEE
20374398,Electrical,Street Light Not Working,2023-07-18 11:17:00.000000000,Kacharakanahalli,Closed,Antended,Durga Prasad/AEE
20374397,Electrical,Street Light Not Working,2023-07-18 11:14:00.000000000,Chikkalasandra,Closed,Attended,Umesh/AEE
20374396,Electrical,Street Light Not Working,2023-07-18 11:13:00.000000000,J.P.Park,Closed,attended,Gavi Siddiah/AEE
20374395,Electrical,Street Light Not Working,2023-07-18 11:11:00.000000000,Ramamurthy Nagar,Closed,Attended,Sharath Kumar/AEE
20374394,Electrical,Street Light Not Working,2023-07-18 11:11:00.000000000,Muneshwara Nagar,Closed,Attended,Sandeep Singh/AEE
20374393,Road Maintenance(Engg),water stagnation,2023-07-18 11:09:00.000000000,Begur,Closed,Action Initiated,Nilkanthaya/AEE
20374392,Solid Waste (Garbage) Related,Sweeping not done,2023-07-18 11:08:00.000000000,Banashankari Temple Ward,Closed,Complaint clear attended,Manjunatha T R/AEE
20374391,veterinary,Stray dog related complaints,2023-07-18 11:08:00.000000000,Dodda Bidarkallu,Closed,"ABC team will visit your wards regularly for neutering and Vaccination and also on complaints, As per Supreme court orders ,street dogs cannot be relocated from its original place.you can send your complaints directly to 9480685386",Dr. Venkatesh K.M/ADAH
20374390,Road Maintenance(Engg),Debris Removal / Construction Material,2023-07-18 11:08:00.000000000,Aramane Nagar,Closed,Attended,Sushma K.S/AEE
20374389,Electrical,Street Light Not Working,2023-07-18 11:07:00.000000000,Shiva Nagar,Closed,ATTENDED,Suresh/AEE
20374388,Electrical,Street Light Not Working,2023-07-18 11:06:00.000000000,Ullalu,Closed,attended,Gavi Siddiah/AEE
20374387,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2023-07-18 11:05:00.000000000,Thanisandra,Closed,Closed,Shivakumar/AEE
20374386,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2023-07-18 11:04:00.000000000,Horamavu,Closed,No,Harish Kumar K V /JHI
20374385,Electrical,Street Light Not Working,2023-07-18 11:04:00.000000000,Horamavu,Closed,Attended,Sharath Kumar/AEE
20374384,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2023-07-18 11:02:00.000000000,Moodalapalya,Closed,cleared,Praveenraj J/JHI
20374383,Road Maintenance(Engg),Road side drains,2023-07-18 11:00:00.000000000,Shankaramata,Closed,Attended,Ranganatha H/AEE
20374382,Electrical,Street Light Not Working,2023-07-18 11:00:00.000000000,Jnanabharathi Ward,Closed,attended,Gavi Siddiah/AEE
20374381,Electrical,Street Light Not Working,2023-07-18 11:00:00.000000000,Yadiyuru,Closed,Attended,Umesh/AEE
20374380,veterinary,Animal birth control/neutering of stray dogs,2023-07-18 10:58:00.000000000,Konena Agrahara,Closed,Attended,DR Mallappa Devadu/ADAH
20374379,Road Maintenance(Engg),Potholes,2023-07-18 10:56:00.000000000,Begur,Closed,Action Initiated,Nilkanthaya/AEE
20374378,Electrical,Street Light Not Working,2023-07-18 10:55:00.000000000,Vasanth Nagar,Closed,Attended,Sandeep Singh/AEE
20374377,Solid Waste (Garbage) Related,Garbage dump,2023-07-18 10:53:00.000000000,Herohalli,Closed,Attended,Smt Poornima J B/AEE
20374376,Electrical,Street Light Not Working,2023-07-18 10:52:00.000000000,Thanisandra,Closed,Resolved,Yelahanka AEE Electrical/AEE
20374375,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2023-07-18 10:51:00.000000000,Bagalagunte,Closed,Cleared,Shwetha/AEE
